รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท30103,ภาษาไทยเพื่อการสื่อสาร 2,1.00,26.00,27.00,7.00,13.00,73.00,73.00,35.00,35.00,10.00,20.00,100.00,3,,,3,
ค30104,คณิตศาสตร์ 4,1.50,15.00,22.00,20.00,13.00,70.00,70.00,20.00,25.00,25.00,30.00,100.00,3,,,3,
ว30163,โลกศาสตร์และภูมิศาสตร์ 2,0.50,24.00,29.00,14.00,13.00,80.00,80.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ส30103,เศรษฐศาสตร์,1.00,19.00,19.00,23.00,23.00,84.00,84.00,20.00,20.00,30.00,30.00,100.00,4,,,4,
พ30103,สุขศึกษาและพลศึกษา 3,0.50,28.00,27.00,16.00,18.00,89.00,89.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ศ30103,ดนตรีปฏิบัติ,0.50,23.00,25.00,17.00,16.00,81.00,81.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
อ30103,ภาษาอังกฤษพื้นฐาน 3,2.00,25.20,21.00,14.00,10.00,70.20,70.20,30.00,30.00,20.00,20.00,100.00,3,,,3,
ค30223,การประยุกต์เรขาคณิตวิเคราะห์และภาคตัดกรวย,0.50,27.00,25.00,18.00,14.00,84.00,84.00,30.00,25.00,25.00,20.00,100.00,4,,,4,
ว30202,สมบัติเชิงกลของสารอุณหพลศาสตร์ และคลื่นกล,1.50,30.00,24.00,14.00,8.00,76.00,76.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ว30222,จลนศาสตร์เคมีและสมดุลเคมี,1.50,23.10,17.50,16.50,13.50,70.60,70.60,30.00,20.00,20.00,30.00,100.00,3,,,3,
ว30242,กายวิภาคศาสตร์และสรีรวิทยา         ของพืช,1.00,23.00,35.00,17.00,9.00,84.00,84.00,25.00,35.00,20.00,20.00,100.00,4,,,4,
ว30271,ปฏิบัติการดาราศาสตร์พื้นฐาน,1.00,30.00,30.00,20.00,9.00,89.00,89.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว30282,วิทยาการคอมพิวเตอร์ประยุกต์,1.50,27.00,30.00,20.00,20.00,97.00,97.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
จ30201,สนทนาภาษาจีน 1,1.50,27.00,26.00,14.00,13.00,80.00,80.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ก32901,กิจกรรมชุมนุม,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32902,ออกกำลังกายและเล่นกีฬา,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32903,ค่ายปฏิบัติธรรม,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32904,อ่านหนังสือที่โรงเรียนกำหนด,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32905,พบครูที่ปรึกษาประจำชั้น,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32906,ศึกษาดูงานนอกสถานที่,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
