รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท30105,หลักภาษาไทยในชีวิตประจำวัน,1.00,24.00,21.00,14.00,12.00,71.00,71.00,30.00,30.00,20.00,20.00,100.00,3,,,3,
ส30105,ประวัติศาสตร์โลก,1.00,18.00,18.00,22.00,23.00,81.00,81.00,20.00,20.00,30.00,30.00,100.00,4,,,4,
ส30106,ประวัติศาสตร์ไทย 2,0.50,27.00,25.00,14.00,9.00,75.00,75.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ส30107,มนุษย์และสิ่งแวดล้อม,0.50,18.00,18.00,24.00,22.00,82.00,82.00,20.00,20.00,30.00,30.00,100.00,4,,,4,
พ30105,สุขศึกษาและพลศึกษา 5,0.50,25.00,27.00,14.00,17.00,83.00,83.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ศ30105,นาฏศิลป์เปรียบเทียบ,0.50,21.00,22.00,19.00,18.00,80.00,80.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ง30101,การงานอาชีพ 1,1.00,30.00,35.00,8.00,8.00,81.00,81.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
ค30202,สถิติเบื้องต้น,1.50,17.00,20.00,20.00,13.00,70.00,70.00,20.00,25.00,25.00,30.00,100.00,3,,3,
ค30203,คอมบินาทอริกและความน่าจะเป็นเบื้องต้น,1.00,24.00,17.00,19.00,11.00,71.00,71.00,25.00,20.00,25.00,30.00,100.00,3,,,3,
ค30225,ตัวแปรสุ่มและการแจกแจงความน่าจะเป็น,0.50,19.00,25.00,21.00,10.00,75.00,75.00,20.00,30.00,25.00,25.00,100.00,3.5,,,3.5,
ว30204,แสงและฟิสิกส์ยุคใหม่,1.50,30.00,28.00,14.00,8.00,80.00,80.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว30224,เคมีเชิงความร้อนและไฟฟ้าเคมี,1.00,30.00,20.00,14.00,24.00,88.00,88.00,30.00,20.00,20.00,30.00,100.00,4,,,4,
ว30244,ความหลากหลายทางชีวภาพ,1.50,27.00,30.00,14.00,14.00,85.00,85.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว30286,ความคิดสร้างสรรค์และนวัตกรรม 2,1.00,27.00,23.00,15.00,15.00,80.00,80.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
อ30202,ภาษาอังกฤษวิชาการ 2,2.00,24.00,25.00,14.00,12.00,75.00,75.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ก33901,กิจกรรมชุมนุม,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก33902,ออกกำลังกายและเล่นกีฬา,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก33903,อ่านหนังสือที่โรงเรียนกำหนด,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก33904,พบครูที่ปรึกษาประจำชั้น,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก33905,ศึกษาดูงานนอกสถานที่,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
