รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท30102,วรรณวินิจ,1.00,30.00,28.00,14.00,16.00,88.00,88.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ค30103,คณิตศาสตร์ 3,1.50,15.00,31.00,18.00,11.00,75.00,75.00,15.00,35.00,20.00,30.00,100.00,3.5,,,3.5,
ว30161,ดาราศาสตร์พื้นฐาน,0.50,25.00,18.50,14.00,21.50,79.00,79.00,30.00,20.00,20.00,30.00,100.00,3.5,,,3.5,
ว30162,โลกศาสตร์และภูมิศาสตร์ 1,1.00,23.00,25.00,14.00,13.00,75.00,75.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ส30102,หน้าที่พลเมือง,1.00,18.00,17.00,25.00,18.00,78.00,78.00,20.00,20.00,30.00,30.00,100.00,3.5,,,3.5,
พ30102,สุขศึกษาและพลศึกษา 2,0.50,26.00,28.00,18.00,16.00,88.00,88.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ศ30102,สังคีตนิยม,0.50,21.00,21.00,14.00,14.00,70.00,70.00,30.00,30.00,20.00,20.00,100.00,3,,,3,
อ30102,ภาษาอังกฤษพื้นฐาน 2,2.00,21.00,25.00,14.00,10.00,70.00,70.00,30.00,30.00,20.00,20.00,100.00,3,,,3,
ค30226,การประยุกต์ฟังก์ชันตรีโกณมิติ,0.50,15.00,31.00,18.00,11.00,75.00,75.00,15.00,35.00,20.00,30.00,100.00,3.5,,,3.5,
ว30201,กลศาสตร์,1.50,26.00,27.00,14.00,6.00,73.00,73.00,30.00,30.00,20.00,20.00,100.00,3,,,3,
ว30221,สมบัติของสาร,1.50,30.00,20.00,14.00,11.00,75.00,75.00,30.00,20.00,20.00,30.00,100.00,3.5,,,3.5,
ว30241,พันธุศาสตร์และวิวัฒนาการ,1.50,20.00,22.00,20.00,19.00,81.00,81.00,25.00,25.00,25.00,25.00,100.00,4,,,4,
ว30281,การเขียนโปรแกรมคอมพิวเตอร์,1.50,29.00,30.00,11.00,10.00,80.00,80.00,35.00,30.00,15.00,20.00,100.00,4,,,4,
ว30284,สัมมนาทางวิทยาศาสตร์,1.00,25.00,26.00,15.00,17.50,83.50,83.50,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว30285,ความคิดสร้างสรรค์และนวัตกรรม 1,1.00,26.30,17.70,19.00,26.00,89.00,89.00,30.00,20.00,20.00,30.00,100.00,4,,,4,
ศ30209,จิตรกรรมสร้างสรรค์,1.00,34.00,33.00,10.00,10.00,87.00,87.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
ก31941,อ่านหนังสือที่โรงเรียนกำหนด,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31943,กิจกรรมชุมนุม,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31944,พบครูที่ปรึกษาประจำชั้น,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31945,ออกกำลังกายและเล่นกีฬา,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31946,กิจกรรมบำเพ็ญสาธารณประโยชน์,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก31947,การฟังบรรยาย,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
