รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท21102,ภาษาไทย,1.50,21.00,33.00,13.00,13.00,80.00,80.00,30.00,40.00,15.00,15.00,100.00,4,,,4,
ค21102,คณิตศาสตร์,1.50,33.00,29.00,12.00,12.00,86.00,86.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว21105,วิทยาศาสตร์กายภาพ(ฟิสิกส์),0.50,25.00,25.00,14.00,15.00,79.00,79.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ว21106,วิทยาศาสตร์กายภาพ(เคมี),0.50,26.00,26.00,10.00,18.00,80.00,80.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว21107,วิทยาศาสตร์ชีวภาพ,0.50,29.00,26.00,14.00,14.00,83.00,83.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว21108,วิทยาศาสตร์ (เทคโนโลยี),0.50,23.00,36.00,11.10,13.80,83.90,83.90,30.00,40.00,15.00,15.00,100.00,4,,,4,
ส21103,สังคมศึกษา ศาสนาและวัฒนธรรม,1.50,32.00,26.00,9.00,10.00,77.00,77.00,35.00,35.00,15.00,15.00,100.00,3.5,,,3.5,
ส21104,ประวัติศาสตร์,0.50,23.00,25.00,11.00,11.00,70.00,70.00,35.00,35.00,15.00,15.00,100.00,3,,,3,
พ21102,สุขศึกษาและพลศึกษา,1.00,25.00,31.00,7.00,7.00,70.00,70.00,40.00,40.00,10.00,10.00,100.00,3,,,3,
ศ21102,ศิลปะ,1.00,26.00,32.00,9.00,9.00,76.00,76.00,40.00,40.00,10.00,10.00,100.00,3.5,,,3.5,
ง21102,การงานอาชีพ2,0.50,38.00,27.00,8.00,10.00,83.00,83.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
อ21102,ภาษาอังกฤษ,1.50,29.10,33.00,8.10,11.00,81.20,81.20,35.00,35.00,15.00,15.00,100.00,4,,,4,
ค21202,คณิตศาสตร์,1.00,26.00,31.00,9.00,14.00,80.00,80.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว20262,โครงงานโลกทั้งระบบ2,1.00,22.00,26.00,13.00,14.00,75.00,75.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ว20282,เริ่มต้นกับโครงงาน 2,0.50,26.00,26.00,10.00,18.00,80.00,80.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว21202,คอมพิวเตอร์,0.50,26.00,35.00,11.10,11.00,83.10,83.10,30.00,40.00,15.00,15.00,100.00,4,,,4,
จ20202,ภาษาจีน,1.00,30.10,28.20,11.00,13.00,82.30,82.30,35.00,35.00,15.00,15.00,100.00,4,,,4,
ก21905,ลูกเสือ/เนตรนารี2,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก21906,กิจกรรมชุมนุม2,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก21907,กิจกรรมแนะแนว2,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก21908,กิจกรรมเพื่อสังคมและสาธารณประโยชน์2,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
