รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท22101,ภาษาไทย,1.50,21.00,30.00,10.00,12.30,73.30,73.30,30.00,40.00,15.00,15.00,100.00,3,,,3,
ค22101,คณิตศาสตร์,1.50,30.00,33.00,12.00,15.00,90.00,90.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว22101,วิทยาศาสตร์กายภาพ (ฟิสิกส์),0.50,29.00,29.00,13.00,16.00,87.00,87.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว22102,วิทยาศาสตร์กายภาพ(เคมี),0.50,30.00,29.00,18.00,12.00,89.00,89.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว22103,วิทยาศาสตร์ชีวภาพ,0.50,28.00,27.00,18.00,19.00,92.00,92.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว22104,วิทยาศาสตร์(เทคโนโลยี),0.50,26.00,34.00,11.00,14.00,85.00,85.00,30.00,40.00,15.00,15.00,100.00,4,,,4,
ส22101,สังคมศึกษา ศาสนา และวัฒนธรรม,1.50,29.00,34.00,9.00,8.00,80.00,80.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ส22102,ประวัติศาสตร์,0.50,33.00,28.00,9.00,12.00,82.00,82.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
พ22101,สุขศึกษาและพลศึกษา,1.00,33.00,33.00,10.00,9.00,85.00,85.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
ศ22101,ศิลปะ,1.00,34.00,27.00,7.00,8.00,76.00,76.00,40.00,40.00,10.00,10.00,100.00,3.5,,,3.5,
ง22101,การงานอาชีพ 3,0.50,34.00,33.00,8.00,9.00,84.00,84.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
อ22101,ภาษาอังกฤษ,1.50,30.00,28.00,12.00,10.00,80.00,80.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ค22201,คณิตศาสตร์,1.00,33.00,28.00,14.00,15.00,90.00,90.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว22201,ฟิสิกส์,0.50,29.00,29.00,13.00,16.00,87.00,87.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว22202,คอมพิวเตอร์,0.50,23.00,34.00,13.00,15.00,85.00,85.00,30.00,40.00,15.00,15.00,100.00,4,,,4,
จ20203,ภาษาจีน 3,1.00,29.00,32.00,14.00,11.00,86.00,86.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
I20201,การศึกษาค้นคว้าและสร้างองค์ความรู้,1.00,27.00,16.00,17.00,26.00,86.00,86.00,30.00,20.00,20.00,30.00,100.00,4,,,4,
ก22901,ลูกเสือ/เนตรนารี 3,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก22902,กิจกรรมชุมนุม 3,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก22903,กิจกรรมแนะแนว 3,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก22904,กิจกรรมเพื่อสังคมและสาธารณประโยชน์3,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
