รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท23102,ภาษาไทย,1.50,24.00,23.00,12.00,11.00,70.00,70.00,35.00,35.00,15.00,15.00,100.00,3,,,3,
ค23102,คณิตศาสตร์,1.50,35.00,30.00,15.00,15.00,95.00,95.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว23105,วิทยาศาสตร์ โลกและอวกาศ,0.50,27.50,30.00,16.00,18.00,91.50,91.50,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23106,วิทยาศาสตร์กายภาพ(เคมี),0.50,27.00,30.00,17.30,15.00,89.30,89.30,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23107,วิทยาศาสตร์ชีวภาพ,0.50,30.00,30.00,12.00,16.00,88.00,88.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23108,วิทยาศาสตร์(เทคโนโลยี),0.50,28.00,28.00,11.00,13.00,80.00,80.00,30.00,40.00,15.00,15.00,100.00,4,,,4,
ส23103,สังคมศึกษา ศาสนาและวัฒนธรรม,1.50,32.00,33.00,12.00,13.00,90.00,90.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ส23104,ประวัติศาสตร์,0.50,30.00,30.00,10.00,10.00,80.00,80.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
พ23102,สุขศึกษาและพลศึกษา,1.00,34.00,40.00,10.00,10.00,94.00,94.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
ศ23102,ศิลปะ,1.00,35.00,32.00,10.00,8.00,85.00,85.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
ง23102,การงานอาชีพ,0.50,33.00,31.00,9.00,8.00,81.00,81.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
อ23102,ภาษาอังกฤษ,1.50,35.00,24.00,14.00,14.00,87.00,87.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ค23202,คณิตศาสตร์,1.00,35.00,35.00,15.00,15.00,100.00,100.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว20264,โครงงานเพื่อการเรียนรู้บูรณาการ 2,0.50,30.00,28.00,19.00,17.00,94.00,94.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23203,เคมี 2,0.50,27.00,30.00,17.30,15.00,89.30,89.30,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23204,คอมพิวเตอร์,0.50,28.00,28.00,11.00,13.00,80.00,80.00,30.00,40.00,15.00,15.00,100.00,4,,,4,
ส23202,อาเซียนศึกษา,0.50,30.00,31.00,13.00,14.00,88.00,88.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
จ20206,ภาษาจีนพาเพลิน,1.00,26.00,32.00,9.00,9.00,76.00,76.00,35.00,35.00,15.00,15.00,100.00,3.5,,,3.5,
ก23905,ลูกเสือ/เนตรนารี 6,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก23906,กิจกรรมชุมนุม 6,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก23907,กิจกรรมแนะแนว 6,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก23908,กิจกรรมเพื่อสังคมและสาธารณประโยชน์6,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
