รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท23101,ภาษาไทย,1.50,25.00,31.00,13.00,11.00,80.00,80.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ค23101,คณิตศาสตร์,1.50,34.00,33.00,15.00,14.00,96.00,96.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว23101,วิทยาศาสตร์กายภาพ(ฟิสิกส์),0.50,30.00,27.00,17.00,17.00,91.00,91.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23102,วิทยาศาสตร์กายภาพ(เคมี),0.50,27.00,28.00,18.00,17.60,90.60,90.60,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23103,วิทยาศาสตร์ชีวภาพ,0.50,30.00,28.00,20.00,20.00,98.00,98.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23104,วิทยาศาสตร์(เทคโนโลยี),0.50,26.00,38.00,10.00,12.00,86.00,86.00,30.00,40.00,15.00,15.00,100.00,4,,,4,
ส23101,สังคมศึกษา ศาสนาและวัฒนธรรม,1.50,28.00,27.00,13.00,8.00,76.00,76.00,35.00,35.00,15.00,15.00,100.00,3.5,,,3.5,
ส23102,ประวัติศาสตร์,0.50,27.50,34.00,15.00,15.00,91.50,91.50,35.00,35.00,15.00,15.00,100.00,4,,,4,
พ23101,สุขศึกษาและพลศึกษา,1.00,39.00,32.00,9.00,10.00,90.00,90.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
ศ23101,ศิลปะ,1.00,29.00,33.00,6.00,8.00,76.00,76.00,40.00,40.00,10.00,10.00,100.00,3.5,,,3.5,
ง23101,การงานอาชีพ 5,0.50,32.00,33.00,8.00,9.00,82.00,82.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
อ23101,ภาษาอังกฤษ,1.50,24.00,34.00,11.00,11.00,80.00,80.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ค23201,คณิตศาสตร์,1.00,34.00,34.00,14.00,15.00,97.00,97.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว20263,โครงงานเพื่อการเรียนรู้บูรณาการ 1,0.50,28.00,30.00,16.00,16.00,90.00,90.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23201,เคมี 1,0.50,26.50,28.00,18.00,17.60,90.10,90.10,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว23202,คอมพิวเตอร์,0.50,25.00,39.00,10.00,13.00,87.00,87.00,30.00,40.00,15.00,15.00,100.00,4,,,4,
ส23201,อาเซียนศึกษา,0.50,34.00,29.00,14.00,13.50,90.50,90.50,35.00,35.00,15.00,15.00,100.00,4,,,4,
จ20205,ภาษาจีน 360 องศา,1.00,31.00,30.00,8.00,13.00,82.00,82.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ก23901,ลูกเสือ/เนตรนารี 5,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก23902,กิจกรรมชุมนุม 5,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก23903,กิจกรรมแนะแนว 5,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก23904,กิจกรรมเพื่อสังคมและสาธารณประโยชน์5,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
