รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท22102,ภาษาไทย,1.50,24.00,24.00,10.40,10.00,68.40,68.40,30.00,40.00,15.00,15.00,100.00,2.5,,,2.5,
ค22102,คณิตศาสตร์,1.50,34.00,35.00,13.00,13.00,95.00,95.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว22105,วิทยาศาสตร์โลก และอวกาศ,0.50,29.00,27.00,20.00,16.00,92.00,92.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว22106,วิทยาศาสตร์กายภาพ(เคมี),0.50,30.00,29.00,18.00,15.00,92.00,92.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว22107,วิทยาศาสตร์ชีวภาพ,0.50,28.00,30.00,13.00,15.00,86.00,86.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว22108,วิทยาศาสตร์(เทคโนโลยี),0.50,27.00,37.00,10.00,13.00,87.00,87.00,30.00,40.00,15.00,15.00,100.00,4,,,4,
ส22103,สังคมศึกษา ศาสนาและวัฒนธรรม,1.50,33.00,26.00,15.00,10.00,84.00,84.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ส22104,ประวัติศาสตร์,0.50,32.00,28.00,8.00,8.00,76.00,76.00,35.00,35.00,15.00,15.00,100.00,3.5,,,3.5,
พ22102,สุขศึกษาและพลศึกษา,1.00,37.00,37.00,9.00,10.00,93.00,93.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
ศ22102,ศิลปะ,1.00,37.50,37.00,9.00,8.00,91.50,91.50,40.00,40.00,10.00,10.00,100.00,4,,,4,
ง22102,การงานอาชีพ 4,0.50,35.00,30.00,9.00,8.00,82.00,82.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
อ22102,ภาษาอังกฤษ,1.50,34.00,25.00,12.00,13.00,84.00,84.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ค22202,คณิตศาสตร์,1.00,31.00,34.00,15.00,14.00,94.00,94.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว22203,ชีววิทยา,0.50,28.00,30.00,13.00,15.00,86.00,86.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว22204,คอมพิวเตอร์,0.50,29.00,34.00,10.00,11.00,84.00,84.00,30.00,40.00,15.00,15.00,100.00,4,,,4,
จ20204,ภาษาจีน 4,1.00,33.00,32.00,12.00,13.00,90.00,90.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
I20202,การสื่อสารและการนำเสนอ,1.00,22.00,19.00,6.00,28.00,75.00,75.00,30.00,20.00,20.00,30.00,100.00,3.5,,,3.5,
I20903,การนำองค์ความรู้ไปใช้บริการสังคม,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก22905,ลูกเสือ/เนตรนารี 4,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก22906,กิจกรรมชุมนุม 4,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก22907,กิจกรรมแนะแนว 4,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก22908,กิจกรรมเพื่อสังคมและสาธารณประโยชน์4,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
